name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Aaron Connolly,FWD,Brighton,78,359,12,0,True,2021-05-18T18:00:00Z,3,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,22,22027,182,160
Aaron Cresswell,DEF,West Ham,435,368,18,5,False,2021-05-19T19:15:00Z,1,3,37,90,0,1,0,1,0,0,0,0,0,0,0,21,28.6,40.7,3.0,7.2,56,40790,1409313,60434,19644
Aaron Mooy,MID,Brighton,60,359,12,0,True,2021-05-18T18:00:00Z,3,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,825,0,0
Aaron Ramsdale,GK,Sheffield Utd,483,365,14,3,False,2021-05-19T17:00:00Z,1,0,37,90,0,0,0,1,0,0,0,0,0,4,0,17,27.8,0.0,0.0,2.8,46,8973,147543,10262,1289
Aaron Wan-Bissaka,DEF,Man Utd,313,364,8,2,True,2021-05-18T17:00:00Z,1,1,37,90,0,0,0,1,0,0,0,0,0,0,0,15,17.8,32.5,2.0,5.2,57,62938,1567500,74340,11402
Abdoulaye Doucouré,MID,Everton,512,363,20,3,True,2021-05-19T17:00:00Z,1,0,37,89,0,0,1,0,0,0,0,0,0,0,0,14,10.6,3.7,0.0,1.4,51,-243,50904,118,361
Aboubakar Kamara,MID,Fulham,190,364,13,0,False,2021-05-18T17:00:00Z,1,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-5,3075,0,5
Adama Traoré,MID,Wolves,465,363,7,2,False,2021-05-19T17:00:00Z,1,0,37,90,0,0,0,1,0,0,0,0,0,0,0,9,21.0,7.2,42.0,7.0,60,-8197,442851,2149,10346
Adam Forshaw,MID,Leeds,199,366,16,0,False,2021-05-18T17:00:00Z,0,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-7,625,8,15
Adam Lallana,MID,Brighton,54,359,12,1,True,2021-05-18T18:00:00Z,3,2,37,41,0,0,0,0,0,0,0,0,0,0,0,8,3.8,4.8,8.0,1.7,62,-200,25333,144,344
Adam Webster,DEF,Brighton,66,359,12,6,True,2021-05-18T18:00:00Z,3,2,37,90,1,0,0,2,0,0,0,1,0,0,0,21,44.2,1.4,27.0,7.3,43,-538,78106,1346,1884
Ademipo Odubeko,FWD,West Ham,638,368,18,0,False,2021-05-19T19:15:00Z,1,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,10,3741,149,139
Ademola Lookman,MID,Fulham,557,364,13,1,False,2021-05-18T17:00:00Z,1,1,37,88,0,0,0,1,0,0,0,1,0,0,0,4,5.2,14.3,19.0,3.9,48,-7717,110628,1882,9599
Adrien Silva,MID,Leicester,220,361,5,0,False,2021-05-18T19:15:00Z,2,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-24,16417,0,24
Adrián Bernabé,MID,Man City,537,359,3,0,False,2021-05-18T18:00:00Z,3,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,1,1052,11,10
Adrián San Miguel del Castillo,GK,Liverpool,245,360,4,0,False,2021-05-19T19:15:00Z,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-142,28301,113,255
Ahmed El-Sayed Hegazy,DEF,West Brom,414,368,19,0,True,2021-05-19T19:15:00Z,1,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-22,9723,0,22
Ahmed El Mohamady,DEF,Aston Villa,29,367,17,0,False,2021-05-19T17:00:00Z,1,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-95,27368,409,504
Ainsley Maitland-Niles,DEF,West Brom,15,368,19,2,True,2021-05-19T19:15:00Z,1,3,37,68,0,0,0,1,0,0,0,0,0,0,0,10,5.4,2.4,4.0,1.2,46,-233,64599,353,586
Albian Ajeti,FWD,West Ham,447,368,18,0,False,2021-05-19T19:15:00Z,1,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,502,0,0
Aleksandar Mitrović,FWD,Fulham,184,364,13,0,False,2021-05-18T17:00:00Z,1,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1180,269564,528,1708
Alex Nicolao Telles,DEF,Man Utd,568,364,8,0,True,2021-05-18T17:00:00Z,1,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,299,42230,549,250
Alexandre Jankewitz,MID,Southampton,643,366,10,0,True,2021-05-18T17:00:00Z,0,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,32,845,82,50
Alexandre Lacazette,FWD,Arsenal,6,362,6,0,False,2021-05-19T18:00:00Z,1,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,791,352924,9023,8232
