name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Aaron Connolly,FWD,Brighton,78,70,4,1,True,2020-11-06T17:30:00Z,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,54,-4140,39808,2117,6257
Aaron Cresswell,DEF,West Ham,435,78,8,6,True,2020-11-07T20:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,28,25.0,64.7,8.0,9.8,51,86430,591798,129763,43333
Aaron Mooy,MID,Brighton,60,70,4,0,True,2020-11-06T17:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-28,948,6,34
Aaron Ramsdale,GK,Sheffield Utd,483,71,5,2,False,2020-11-07T17:30:00Z,4,1,8,90,0,0,0,4,0,0,0,0,0,6,0,17,30.8,0.0,0.0,3.1,49,-12557,232343,1946,14503
Aaron Wan-Bissaka,DEF,Man Utd,313,73,7,2,False,2020-11-07T12:30:00Z,1,3,8,90,0,0,0,1,0,0,0,0,0,0,0,6,11.6,1.6,0.0,1.3,54,-7702,646278,23417,31119
Abdoulaye Doucouré,MID,Everton,512,73,13,1,True,2020-11-07T12:30:00Z,1,3,8,90,0,0,0,3,0,0,0,1,0,0,0,8,10.0,4.8,23.0,3.8,53,-9127,85160,1458,10585
Aboubakar Kamara,MID,Fulham,190,78,19,0,False,2020-11-07T20:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-577,4176,30,607
Adama Traoré,MID,Wolves,465,74,9,1,False,2020-11-08T14:00:00Z,1,0,8,30,0,0,0,0,0,0,0,0,0,0,0,3,1.6,3.8,2.0,0.7,63,-88734,578447,3901,92635
Adam Forshaw,MID,Leeds,199,72,6,0,False,2020-11-07T15:00:00Z,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-20,640,14,34
Adam Lallana,MID,Brighton,54,70,4,3,True,2020-11-06T17:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,20,14.4,43.6,44.0,10.2,62,-1005,32712,1667,2672
Adam Webster,DEF,Brighton,66,70,4,6,True,2020-11-06T17:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,20,2.8,1.4,4.0,0.8,44,-1722,140229,6272,7994
