name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Aaron Connolly,FWD,Brighton,78,40,6,4,False,2020-10-18T13:00:00Z,1,1,5,12,0,1,0,0,0,0,0,0,0,0,0,13,17.2,10.3,2.0,3.0,55,-8992,46774,5860,14852
Aaron Cresswell,DEF,West Ham,435,47,17,5,False,2020-10-18T15:30:00Z,3,3,5,90,0,1,0,3,0,0,0,0,0,0,1,27,32.6,34.0,1.0,6.8,49,148325,255018,175436,27111
Aaron Mooy,MID,Brighton,60,40,6,0,False,2020-10-18T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-66,1059,62,128
Aaron Ramsdale,GK,Sheffield Utd,483,46,8,3,True,2020-10-18T11:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,5,0,18,27.8,0.0,0.0,2.8,50,-26830,320507,21356,48186
Aaron Wan-Bissaka,DEF,Man Utd,313,45,14,8,False,2020-10-17T19:00:00Z,1,4,5,90,1,0,0,1,0,0,0,0,0,0,0,26,52.2,23.8,42.0,11.8,54,-94333,584766,10097,104430
Abdoulaye Doucouré,MID,Everton,512,41,11,2,True,2020-10-17T11:30:00Z,2,2,5,77,0,0,0,2,0,0,0,0,0,0,0,9,7.0,10.9,8.0,2.6,54,-13885,108798,9049,22934
Aboubakar Kamara,MID,Fulham,190,46,15,0,False,2020-10-18T11:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1236,6439,210,1446
Adama Traoré,MID,Wolves,465,42,10,1,False,2020-10-19T19:00:00Z,0,1,5,25,0,0,0,0,0,0,0,0,0,0,0,5,3.4,10.3,0.0,1.4,64,-190973,842684,22727,213700
Adam Forshaw,MID,Leeds,199,42,20,0,True,2020-10-19T19:00:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-107,732,15,122
Adam Lallana,MID,Brighton,54,40,6,2,False,2020-10-18T13:00:00Z,1,1,5,77,0,0,0,1,0,0,0,0,0,0,0,4,0.0,4.9,1.0,0.5,63,-6062,36915,1191,7253
