name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Aaron Connolly,FWD,Brighton,78,258,18,2,False,2021-02-27T15:00:00Z,1,0,26,60,0,0,0,1,0,0,0,0,0,0,0,3,1.0,0.4,39.0,4.0,52,-82,24448,1075,1157
Aaron Cresswell,DEF,West Ham,435,254,12,1,False,2021-02-27T12:30:00Z,2,1,26,90,0,0,0,2,0,0,0,0,0,0,0,11,12.8,25.3,0.0,3.8,58,-166541,1951095,81280,247821
Aaron Mooy,MID,Brighton,60,258,18,0,False,2021-02-27T15:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-3,838,0,3
Aaron Ramsdale,GK,Sheffield Utd,483,256,11,3,True,2021-02-28T19:15:00Z,0,2,26,90,0,0,0,2,0,0,0,0,0,7,0,23,55.8,0.0,0.0,5.6,46,-2974,140325,1551,4525
Aaron Ramsdale,GK,Sheffield Utd,483,285,2,10,True,2021-03-03T18:00:00Z,1,0,26,90,0,0,1,0,0,0,0,0,0,4,3,32,30.8,0.0,0.0,3.1,46,-2974,140325,1551,4525
Aaron Wan-Bissaka,DEF,Man Utd,313,249,5,6,False,2021-02-28T16:30:00Z,0,0,26,90,0,0,1,0,0,0,0,0,0,0,0,25,12.0,13.6,2.0,2.8,56,14774,1417512,96413,81639
Aaron Wan-Bissaka,DEF,Man Utd,313,281,6,6,False,2021-03-03T20:15:00Z,0,0,26,90,0,0,1,0,0,0,0,0,0,0,0,24,13.4,9.3,0.0,2.3,56,14774,1417512,96413,81639
Abdoulaye Doucouré,MID,Everton,512,251,16,3,True,2021-03-01T20:00:00Z,1,0,26,90,0,0,1,0,0,0,0,0,0,0,0,11,14.8,4.0,4.0,2.3,52,4303,73600,8582,4279
Abdoulaye Doucouré,MID,Everton,512,287,18,3,False,2021-03-04T18:00:00Z,0,1,26,63,0,0,1,0,0,0,0,0,0,0,0,15,6.8,13.9,4.0,2.5,52,4303,73600,8582,4279
Aboubakar Kamara,MID,Fulham,190,250,6,0,False,2021-02-28T12:00:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-36,3196,0,36
Aboubakar Kamara,MID,Fulham,190,321,17,0,True,2021-03-04T18:00:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-36,3196,0,36
Adama Traoré,MID,Wolves,465,255,14,4,False,2021-02-27T20:00:00Z,1,1,26,90,0,0,0,1,0,0,0,0,0,0,2,26,32.0,51.9,52.0,13.6,60,626,396505,4820,4194
Adama Traoré,MID,Wolves,465,284,12,2,False,2021-03-02T20:00:00Z,4,1,26,90,0,0,0,4,0,0,0,0,0,0,0,10,8.6,2.9,30.0,4.2,60,626,396505,4820,4194
Adam Forshaw,MID,Leeds,199,252,2,0,True,2021-02-27T17:30:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,36,630,72,36
Adam Lallana,MID,Brighton,54,258,18,1,False,2021-02-27T15:00:00Z,1,0,26,45,0,0,0,0,0,0,0,0,0,0,0,4,3.2,4.4,4.0,1.2,62,15,21653,315,300
Adam Webster,DEF,Brighton,66,258,18,0,False,2021-02-27T15:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-11094,85235,435,11529
Ademipo Odubeko,FWD,West Ham,638,254,12,0,False,2021-02-27T12:30:00Z,2,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,260,3298,844,584
Ademola Lookman,MID,Fulham,557,250,6,3,False,2021-02-28T12:00:00Z,0,0,26,90,0,0,1,0,0,0,0,0,0,0,0,12,13.4,68.8,8.0,9.0,50,92165,201738,111069,18904
Ademola Lookman,MID,Fulham,557,321,17,1,True,2021-03-04T18:00:00Z,0,1,26,90,0,0,0,1,0,0,0,1,0,0,0,4,2.8,28.8,33.0,6.5,50,92165,201738,111069,18904
Adrien Silva,MID,Leicester,220,253,1,0,True,2021-02-28T12:00:00Z,1,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-118,16850,0,118
Adrien Silva,MID,Leicester,220,280,4,0,False,2021-03-03T18:00:00Z,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-118,16850,0,118
Adrián Bernabé,MID,Man City,537,254,19,0,True,2021-02-27T12:30:00Z,2,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-19,974,18,37
Adrián Bernabé,MID,Man City,537,284,20,0,True,2021-03-02T20:00:00Z,4,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-19,974,18,37
Adrián San Miguel del Castillo,GK,Liverpool,245,256,15,9,False,2021-02-28T19:15:00Z,0,2,26,90,0,0,1,0,0,0,0,0,0,3,2,32,17.4,0.0,0.0,1.7,42,-32,27326,873,905
Adrián San Miguel del Castillo,GK,Liverpool,245,283,5,0,True,2021-03-04T20:15:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-32,27326,873,905
Ahmed El-Sayed Hegazy,DEF,West Brom,414,258,3,0,True,2021-02-27T15:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-123,10064,0,123
Ahmed El-Sayed Hegazy,DEF,West Brom,414,287,7,0,True,2021-03-04T18:00:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-123,10064,0,123
Ahmed El Mohamady,DEF,Aston Villa,29,252,10,5,False,2021-02-27T17:30:00Z,0,1,26,90,0,0,1,0,0,0,0,1,0,0,0,17,6.8,0.7,4.0,1.2,43,9309,34598,11713,2404
Ahmed El Mohamady,DEF,Aston Villa,29,285,15,2,False,2021-03-03T18:00:00Z,1,0,26,90,0,0,0,1,0,0,0,0,0,0,0,15,18.8,26.8,8.0,5.4,43,9309,34598,11713,2404
Ainsley Maitland-Niles,DEF,West Brom,15,258,3,6,True,2021-02-27T15:00:00Z,1,0,26,90,0,0,1,0,0,0,0,0,0,0,0,11,11.4,2.9,19.0,3.3,46,11135,73367,13745,2610
Ainsley Maitland-Niles,DEF,West Brom,15,287,7,2,True,2021-03-04T18:00:00Z,0,1,26,90,0,0,0,1,0,0,0,0,0,0,0,14,17.2,6.8,4.0,2.8,46,11135,73367,13745,2610
Albian Ajeti,FWD,West Ham,447,254,12,0,False,2021-02-27T12:30:00Z,2,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-2,513,0,2
Aleksandar Mitrović,FWD,Fulham,184,250,6,1,False,2021-02-28T12:00:00Z,0,0,26,17,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.4,0.0,0.1,55,-9469,271698,1342,10811
Aleksandar Mitrović,FWD,Fulham,184,321,17,1,True,2021-03-04T18:00:00Z,0,1,26,19,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,2.0,0.2,55,-9469,271698,1342,10811
Alex Nicolao Telles,DEF,Man Utd,568,249,5,0,False,2021-02-28T16:30:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1916,45757,319,2235
Alex Nicolao Telles,DEF,Man Utd,568,281,6,0,False,2021-03-03T20:15:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1916,45757,319,2235
Alexandre Jankewitz,MID,Southampton,643,251,7,0,False,2021-03-01T20:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,71,390,153,82
Alexandre Lacazette,FWD,Arsenal,6,253,9,8,False,2021-02-28T12:00:00Z,1,3,26,82,1,0,0,1,0,0,0,0,0,0,2,31,36.4,2.6,17.0,5.6,81,-79792,316981,4174,83966
Alexis Mac Allister,MID,Brighton,80,258,18,1,False,2021-02-27T15:00:00Z,1,0,26,45,0,0,0,1,0,0,0,0,0,0,0,4,4.6,12.3,0.0,1.7,53,53,3226,215,162
Alex Iwobi,MID,Everton,159,251,16,1,True,2021-03-01T20:00:00Z,1,0,26,3,0,0,0,0,0,0,0,0,0,0,0,1,3.0,1.5,0.0,0.5,59,-440,17587,493,933
Alex Iwobi,MID,Everton,159,287,18,1,False,2021-03-04T18:00:00Z,0,1,26,57,0,0,0,0,0,0,0,0,0,0,0,6,9.6,1.1,4.0,1.5,59,-440,17587,493,933
Alex McCarthy,GK,Southampton,363,251,7,0,False,2021-03-01T20:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-95479,1213725,23472,118951
