name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Aaron Connolly,FWD,Brighton,78,32,7,2,False,2020-10-03T14:00:00Z,4,2,4,65,0,0,0,3,0,0,0,0,0,0,0,7,3.0,0.3,4.0,0.7,55,-1311,55125,10399,11710
Aaron Cresswell,DEF,West Ham,435,34,9,15,False,2020-10-04T11:00:00Z,0,3,4,90,0,2,1,0,0,0,0,0,0,0,3,57,52.8,52.5,0.0,10.5,49,77,61303,5241,5164
Aaron Mooy,MID,Brighton,60,32,7,0,False,2020-10-03T14:00:00Z,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-147,1121,30,177
Aaron Ramsdale,GK,Sheffield Utd,483,29,1,2,False,2020-10-04T13:00:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,3,0,13,18.6,0.0,2.0,2.1,50,-45840,335363,3387,49227
Aaron Wan-Bissaka,DEF,Man Utd,313,35,17,-1,True,2020-10-04T15:30:00Z,1,6,4,90,0,0,0,6,0,0,0,0,0,0,0,13,27.0,3.1,2.0,3.2,54,-106230,668279,9167,115397
Abdoulaye Doucouré,MID,Everton,512,32,3,5,True,2020-10-03T14:00:00Z,4,2,4,90,0,1,0,2,0,0,0,0,0,0,0,29,32.4,34.8,2.0,6.9,55,-14841,119765,8995,23836
Aboubakar Kamara,MID,Fulham,190,38,20,1,False,2020-10-04T13:00:00Z,1,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0.8,25.0,3.0,50,-1097,7527,455,1552
Adama Traoré,MID,Wolves,465,38,8,1,True,2020-10-04T13:00:00Z,1,0,4,8,0,0,0,0,0,0,0,0,0,0,0,3,4.0,0.1,0.0,0.4,65,-79097,1025920,66904,146001
Adam Forshaw,MID,Leeds,199,33,12,0,True,2020-10-03T16:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-151,836,8,159
Adam Lallana,MID,Brighton,54,32,7,1,False,2020-10-03T14:00:00Z,4,2,4,24,0,0,0,1,0,0,0,0,0,0,0,5,3.4,13.0,8.0,2.4,64,-5216,42184,1748,6964
Adam Webster,DEF,Brighton,66,32,7,0,False,2020-10-03T14:00:00Z,4,2,4,90,0,0,0,4,0,0,0,0,0,0,0,10,6.8,5.0,20.0,3.2,45,-10365,163327,4263,14628
Ademola Lookman,MID,Fulham,557,38,20,1,False,2020-10-04T13:00:00Z,1,0,4,23,0,0,0,0,0,0,0,0,0,0,0,9,11.2,12.8,2.0,2.6,50,380,436,430,50
Adrien Silva,MID,Leicester,220,34,19,0,True,2020-10-04T11:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-3551,41428,1501,5052
Adrián Bernabé,MID,Man City,537,33,10,0,False,2020-10-03T16:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-62,300,48,110
Adrián San Miguel del Castillo,GK,Liverpool,245,30,2,0,False,2020-10-04T18:15:00Z,7,2,4,90,0,0,0,7,0,0,0,0,0,4,0,14,23.0,0.0,0.0,2.3,45,-1092,20094,528,1620
Ahmed El-Sayed Hegazy,DEF,West Brom,414,37,16,0,False,2020-10-04T11:00:00Z,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-8177,33733,234,8411
Ahmed El Mohamady,DEF,Aston Villa,29,30,11,1,True,2020-10-04T18:15:00Z,7,2,4,10,0,0,0,0,0,0,0,0,0,0,0,4,3.6,11.1,2.0,1.7,45,-3359,27770,639,3998
Ainsley Maitland-Niles,DEF,Arsenal,15,29,15,1,True,2020-10-04T13:00:00Z,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,2,4.0,0.0,0.0,0.4,50,-9240,119317,4867,14107
Albian Ajeti,FWD,West Ham,447,34,9,0,False,2020-10-04T11:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-64,496,48,112
Aleksandar Mitrović,FWD,Fulham,184,38,20,2,False,2020-10-04T13:00:00Z,1,0,4,90,0,0,0,1,0,0,0,0,0,0,0,8,6.0,23.2,34.0,6.3,60,-235871,1212856,50703,286574
Alexandre Lacazette,FWD,Arsenal,6,29,15,0,True,2020-10-04T13:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,29347,395242,65917,36570
Alexis Mac Allister,MID,Brighton,80,32,7,0,False,2020-10-03T14:00:00Z,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-443,3108,93,536
Alex Iwobi,MID,Everton,159,32,3,5,True,2020-10-03T14:00:00Z,4,2,4,65,0,1,0,2,0,0,0,0,0,0,0,15,27.2,13.6,4.0,4.5,59,-750,10403,608,1358
Alex McCarthy,GK,Southampton,363,37,18,9,True,2020-10-04T11:00:00Z,2,0,4,90,0,0,1,0,0,0,0,0,0,3,2,28,20.0,0.0,0.0,2.0,45,27560,1331722,80072,52512
Alex Oxlade-Chamberlain,MID,Liverpool,248,30,2,0,False,2020-10-04T18:15:00Z,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-315,2031,57,372
Alfie Mawson,DEF,Fulham,185,38,20,0,False,2020-10-04T13:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-131,908,30,161
Alireza Jahanbakhsh,MID,Brighton,71,32,7,0,False,2020-10-03T14:00:00Z,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-247,3920,386,633
Alisson Ramses Becker,GK,Liverpool,252,30,2,0,False,2020-10-04T18:15:00Z,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,33373,992958,78278,44905
Allan Marques Loureiro,MID,Everton,502,32,3,0,True,2020-10-03T14:00:00Z,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-26221,100840,9196,35417
Allan Saint-Maximin,MID,Newcastle,338,36,4,12,True,2020-10-03T19:00:00Z,3,1,4,72,1,1,0,1,0,0,0,0,0,0,2,42,60.2,37.4,23.0,12.1,54,-190292,526681,4317,194609
Alphonse Areola,GK,Fulham,516,38,20,3,False,2020-10-04T13:00:00Z,1,0,4,90,0,0,0,1,0,0,0,0,0,4,0,17,26.2,0.0,0.0,2.6,45,-7566,89827,4123,11689
Andreas Christensen,DEF,Chelsea,116,31,6,0,True,2020-10-03T11:30:00Z,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1519,22240,1492,3011
Andreas Pereira,MID,Man Utd,304,35,17,0,True,2020-10-04T15:30:00Z,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-620,4722,205,825
Andrew Robertson,DEF,Liverpool,255,30,2,-1,False,2020-10-04T18:15:00Z,7,2,4,90,0,0,0,7,0,0,0,0,0,0,0,13,24.4,27.2,31.0,8.3,70,108222,1025161,153683,45461
Andriy Yarmolenko,MID,West Ham,436,34,9,0,False,2020-10-04T11:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-1504,8650,527,2031
Andros Townsend,MID,Crystal Palace,137,31,5,2,False,2020-10-03T11:30:00Z,4,0,4,90,0,0,0,4,0,0,0,0,0,0,0,9,7.8,29.4,0.0,3.7,61,115403,267037,148642,33239
André Filipe Tavares Gomes,MID,Everton,158,32,3,0,True,2020-10-03T14:00:00Z,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-4013,29624,3719,7732
André-Frank Zambo Anguissa,MID,Fulham,191,38,20,2,False,2020-10-04T13:00:00Z,1,0,4,90,0,0,0,1,0,0,0,0,0,0,0,18,19.4,14.2,2.0,3.6,45,6905,197027,28736,21831
Andy Carroll,FWD,Newcastle,320,36,4,0,True,2020-10-03T19:00:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-6319,41322,2812,9131
